Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2210.0,2210.0,2175.0,2191.300048828125,2146.986083984375,786560
2019-01-03,2187.0,2195.0,2150.10009765625,2160.39990234375,2116.710693359375,1652053
2019-01-04,2167.0,2210.0,2167.0,2195.800048828125,2151.39501953125,1708492
2019-01-07,2121.0,2180.0,2120.0,2136.0,2106.233154296875,4385023
2019-01-08,2136.0,2153.5,2100.0,2113.300048828125,2083.849609375,1690017
2019-01-09,2130.800048828125,2167.0,2123.0,2151.10009765625,2121.12255859375,2171708
2019-01-10,2153.0,2220.0,2136.0,2202.89990234375,2172.20068359375,2731320
2019-01-11,2230.0,2279.0,2200.0,2270.60009765625,2238.95751953125,2595692
2019-01-14,2255.0,2260.0,2225.10009765625,2255.0,2223.57470703125,199146
2019-01-15,2294.89990234375,2300.0,2254.0,2294.89990234375,2262.918701171875,369459
2019-01-16,2360.0,2360.0,2295.10009765625,2360.0,2327.111572265625,134342
2019-01-17,2384.0,2384.0,2314.89990234375,2384.0,2350.777099609375,231110
2019-01-18,2394.0,2395.0,2362.0,2394.0,2360.637939453125,207256
2019-01-21,2384.5,2394.5,2355.0,2384.5,2351.270263671875,117038
2019-01-22,2354.0,2370.0,2312.199951171875,2354.0,2321.195068359375,291970
2019-01-23,2379.0,2379.0,2325.0,2379.0,2345.846923828125,202332
2019-01-24,2380.0,2380.0,2331.199951171875,2380.0,2346.8330078125,354530
2019-01-25,2424.800048828125,2424.800048828125,2358.10009765625,2424.800048828125,2391.0087890625,293430
2019-01-28,2420.800048828125,2420.800048828125,2360.10009765625,2420.800048828125,2387.064453125,1229293
2019-01-29,2388.0,2425.0,2375.0,2388.0,2354.72119140625,252007
2019-01-30,2348.199951171875,2402.800048828125,2348.199951171875,2348.199951171875,2315.47607421875,235114
2019-01-31,2370.0,2435.0,2369.0,2370.0,2336.972412109375,794605
2019-02-01,2450.0,2450.0,2380.0,2450.0,2415.857421875,426581
2019-02-04,2472.0,2498.89990234375,2425.89990234375,2472.0,2437.550537109375,48652
2019-02-05,2481.0,2488.5,2460.0,2481.0,2446.42529296875,107533
2019-02-06,2427.0,2480.0,2427.0,2427.0,2393.177978515625,585551
2019-02-07,2460.0,2462.300048828125,2415.0,2460.0,2425.718017578125,94476
