Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1350.0,1367.800048828125,1346.0,1352.5999755859375,1305.2442626953125,1129715
2019-01-03,1347.0,1366.0,1341.0999755859375,1364.4000244140625,1316.631103515625,194972
2019-01-04,1365.0,1380.0,1360.0,1369.0,1321.070068359375,201035
2019-01-07,1369.0,1376.0,1369.0,1376.0,1327.824951171875,251299
2019-01-08,1375.0,1395.0,1360.0,1368.199951171875,1320.298095703125,259581
2019-01-09,1380.0,1395.0,1371.0,1392.0,1343.264892578125,208305
2019-01-10,1399.9000244140625,1399.9000244140625,1370.199951171875,1394.9000244140625,1346.0634765625,161372
2019-01-11,1399.9000244140625,1399.9000244140625,1372.0999755859375,1393.300048828125,1344.5194091796875,68284
2019-01-14,1400.0,1400.0,1400.0,1400.0,1350.984619140625,9288
2019-01-15,1397.800048828125,1409.0,1385.0,1399.5,1350.502197265625,11814
2019-01-16,1395.0,1410.0,1393.0,1395.0,1346.159912109375,44915
2019-01-17,1409.0,1410.0,1397.0,1409.0999755859375,1359.76611328125,3002
2019-01-18,1412.0,1412.0,1360.0,1381.0,1332.6500244140625,302237
2019-01-21,1396.0,1394.9000244140625,1360.0,1370.0,1322.0350341796875,46848
2019-01-22,1351.0,1370.0,1331.0999755859375,1348.9000244140625,1301.6739501953125,8092
2019-01-23,1351.0,1369.4000244140625,1300.0,1350.0,1302.7353515625,570107
2019-01-24,1354.0,1370.0,1340.0,1350.9000244140625,1303.603759765625,2302
2019-01-25,1372.9000244140625,1384.0,1350.9000244140625,1374.5,1326.377685546875,15648
2019-01-28,1373.9000244140625,1373.9000244140625,1335.0,1373.9000244140625,1325.7987060546875,22150
2019-01-29,1370.0,1377.0,1353.300048828125,1366.199951171875,1318.3680419921875,8066
2019-01-30,1372.300048828125,1375.0,1344.0,1372.300048828125,1324.2547607421875,43927
2019-01-31,1359.0,1375.0,1345.199951171875,1359.0,1311.4202880859375,37316
2019-02-01,1380.0,1381.0999755859375,1359.0,1380.0,1331.6849365234375,46504
