Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,8327.7998046875,8484.0,8215.0,8400.900390625,8400.6240234375,193733
2019-01-03,8400.0,8400.900390625,8262.599609375,8345.900390625,8345.6259765625,529956
2019-01-04,8345.0,8485.0,8306.0,8388.2998046875,8388.0234375,696568
2019-01-07,8391.0,8476.0,8391.0,8411.599609375,8411.322265625,531658
2019-01-08,8410.0,8469.0,8300.2001953125,8406.7001953125,8406.423828125,408913
2019-01-09,8407.0,8593.7998046875,8407.0,8535.2001953125,8534.9189453125,936907
2019-01-10,8538.0,8800.0,8501.0,8785.900390625,8785.611328125,1166060
2019-01-11,8790.0,9099.0,8785.0,8998.7001953125,8998.404296875,923238
2019-01-14,9000.0,9080.0,8780.099609375,9000.0,8999.7041015625,116140
2019-01-15,9020.0,9041.0,8939.900390625,9020.0,9019.703125,84974
2019-01-16,9098.0,9098.0,9000.0,9098.0,9097.7001953125,114091
2019-01-17,9100.0,9199.400390625,9013.0,9100.0,9099.7001953125,67944
2019-01-18,9080.0,9179.900390625,8960.0,9080.0,9079.701171875,98337
2019-01-21,9100.0,9150.0,8999.900390625,9100.0,9099.7001953125,50826
2019-01-22,8987.0,9099.900390625,8775.0,8987.0,8986.7041015625,144208
2019-01-23,8919.0,8980.0,8821.0,8919.0,8918.70703125,246911
2019-01-24,9050.0,9090.0,8850.0,9050.0,9049.7021484375,104989
2019-01-25,9090.0,9100.0,9000.0,9090.0,9089.7001953125,132179
2019-01-28,9196.0,9196.0,8875.0,9196.0,9195.697265625,421518
2019-01-29,9060.0,9196.0,9010.0,9060.0,9059.7021484375,112711
2019-01-30,9100.0,9170.0,8877.0,9100.0,9099.7001953125,197690
2019-01-31,9000.0,9235.900390625,9000.0,9000.0,8999.7041015625,266316
2019-02-01,9299.0,9299.0,8950.0,9299.0,9298.6943359375,151584
2019-02-04,9349.0,9397.900390625,9205.0,9349.0,9348.6923828125,18928
2019-02-05,9326.900390625,9350.0,9302.0,9326.900390625,9326.5927734375,23414
2019-02-06,9250.0,9300.0,9225.0,9250.0,9249.6953125,161858
2019-02-07,9175.0,9250.0,9150.099609375,9210.5,9210.1962890625,2491
2019-02-08,9128.0,9204.0,9065.0,9128.0,9127.69921875,32778
2019-02-11,9220.0,9220.0,9104.7998046875,9220.0,9219.6962890625,37284
2019-02-12,9099.599609375,9150.0,9070.099609375,9099.599609375,9099.2998046875,62261
2019-02-13,9010.0,9173.900390625,9000.0,9010.0,9009.703125,83562
2019-02-14,9020.2001953125,9095.900390625,9015.0,9020.2001953125,9019.9033203125,34157
2019-02-15,9220.0,9220.0,8910.0,9220.0,9219.6962890625,101327
2019-02-18,9084.900390625,9198.0,9000.0,9084.900390625,9084.6015625,10861
2019-02-19,9057.0,9099.0,9006.099609375,9057.0,9056.7021484375,21505
