Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,600.9400024414062,610.0999755859375,600.9400024414062,610.0999755859375,595.7395629882812,1752
2019-01-03,600.9400024414062,605.0,595.72998046875,605.0,590.7596435546875,87424
2019-01-04,605.0,605.0,595.9299926757812,605.0,590.7596435546875,126380
2019-01-07,600.0,600.0,600.0,600.0,585.8773193359375,12805
2019-01-08,600.0,600.0,600.0,600.0,585.8773193359375,29325
2019-01-09,596.010009765625,607.0,596.0,604.97998046875,590.7401733398438,74539
2019-01-10,600.0,605.0,602.5,602.7100219726562,588.5235595703125,136901
2019-01-11,601.0,660.0,600.0,633.1400146484375,618.2372436523438,738793
2019-01-14,623.6400146484375,625.010009765625,623.6400146484375,625.010009765625,610.2986450195312,85708
2019-01-15,625.0,640.8599853515625,620.0,625.3200073242188,610.601318359375,317260
2019-01-16,626.0,626.0,624.0,625.8099975585938,611.079833984375,158586
2019-01-17,622.5,625.0,622.5,623.5999755859375,608.9218139648438,536279
2019-01-18,630.0,633.0,625.0999755859375,633.0,618.1005859375,353655
2019-01-21,623.5,630.0,623.5,629.5399780273438,614.7220458984375,515870
2019-01-22,617.969970703125,625.0,610.0,622.5900268554688,607.9356079101562,5772
2019-01-23,625.0,629.0,617.0,625.0999755859375,610.3865966796875,6176
2019-01-24,630.0,639.0,620.0,630.6500244140625,615.8059692382812,8275
2019-01-25,630.510009765625,635.0,630.5,631.9199829101562,617.0459594726562,1103037
2019-01-28,630.0,630.0,630.0,631.9199829101562,617.0459594726562,6325
2019-01-29,618.9000244140625,630.0,618.9000244140625,629.6900024414062,614.8685302734375,20688
2019-01-30,617.0,625.0,617.0,617.0,602.4771118164062,20688
2019-01-31,635.0,635.0,617.0,635.0,620.0535278320312,13510
2019-02-01,650.0,650.0,640.0,650.0,634.700439453125,73412
2019-02-04,655.0,659.1400146484375,646.0,655.0,639.5827026367188,212864
2019-02-05,660.0,664.0,660.0,660.0,644.4650268554688,1709146
2019-02-06,660.0,660.0,654.9000244140625,660.0,644.4650268554688,90000
2019-02-07,660.0,660.010009765625,658.969970703125,660.0,644.4650268554688,628809
2019-02-08,658.0,666.0,658.0,665.010009765625,649.357177734375,497960
2019-02-11,660.0,679.989990234375,664.0,676.3400268554688,660.4204711914062,111527
2019-02-12,671.0,683.989990234375,671.0,671.0,655.2061157226562,1311
2019-02-13,671.0,671.0,671.0,671.0,655.2061157226562,0
2019-02-14,680.4400024414062,685.0,673.0,680.02001953125,664.0138549804688,751549
2019-02-15,680.0,723.0,670.0,677.5399780273438,661.5922241210938,281338
2019-02-18,685.0,695.47998046875,685.0,688.0399780273438,671.8450927734375,5559
2019-02-19,678.0,685.0,675.0,677.989990234375,662.0316162109375,788
2019-02-20,660.0499877929688,682.02001953125,660.0499877929688,666.8099975585938,651.1148071289062,1025
2019-02-21,660.02001953125,675.1300048828125,660.02001953125,665.1300048828125,649.4743041992188,4136
2019-02-22,663.9000244140625,651.530029296875,651.530029296875,652.1500244140625,636.7998657226562,10085
2019-02-25,641.02001953125,668.2999877929688,641.02001953125,644.8800048828125,629.700927734375,6645
2019-02-26,645.0,651.5999755859375,635.510009765625,644.9600219726562,629.779052734375,3380
