Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,8895.0,9000.0,8642.400390625,8733.2998046875,8233.8369140625,101620
2019-01-03,8733.0,8835.0,8733.0,8817.2001953125,8312.939453125,123353
2019-01-04,8810.0,8900.0,8600.0,8815.7998046875,8311.619140625,112923
2019-01-07,8817.2001953125,8888.0,8815.0,8853.599609375,8347.2578125,205435
2019-01-08,8853.599609375,9150.0,8795.2001953125,8908.900390625,8399.3955078125,102316
2019-01-09,8900.0,9049.900390625,8850.0,8886.0,8377.8046875,110028
2019-01-10,8750.0,8947.900390625,8750.0,8902.7001953125,8393.55078125,357017
2019-01-11,8902.7001953125,8902.7001953125,8750.0,8831.900390625,8326.798828125,247149
2019-01-14,9030.0,9030.0,8700.0,9030.0,8513.5693359375,10123
2019-01-15,8974.0,9040.0,8873.7001953125,8974.0,8460.7724609375,47577
2019-01-16,9090.0,9100.0,8880.099609375,9090.0,8570.1376953125,101914
2019-01-17,9118.0,9200.0,9072.2001953125,9118.0,8596.5361328125,28082
2019-01-18,9249.0,9340.0,9000.0,9249.0,8720.044921875,46289
2019-01-21,9210.0,9300.0,9040.0,9210.0,8683.2744140625,23890
2019-01-22,9200.0,9210.0,9005.0,9200.0,8673.8466796875,116098
2019-01-23,9142.900390625,9200.0,9050.0,9142.900390625,8620.0126953125,22700
2019-01-24,9195.099609375,9266.5,9000.0,9195.099609375,8669.2265625,27431
2019-01-25,9179.0,9190.0,9086.0,9179.0,8654.0478515625,27899
2019-01-28,9399.0,9399.0,9102.2001953125,9399.0,8861.466796875,103164
2019-01-29,9256.7998046875,9294.599609375,9125.099609375,9256.7998046875,8727.3984375,149718
2019-01-30,8855.0,9256.7998046875,8855.0,8855.0,8348.578125,61062
2019-01-31,8915.0,9214.0,8915.0,8915.0,8405.146484375,74235
2019-02-01,9236.5,9236.5,8925.0,9236.5,8708.259765625,24785
2019-02-04,9296.0,9352.2001953125,9100.0,9296.0,8764.3564453125,5386
2019-02-05,9410.0,9410.0,9102.0,9410.0,8871.8369140625,4717
2019-02-06,9354.0,9400.0,9321.0,9354.0,8819.0400390625,59530
2019-02-07,9411.0,9669.0,9315.0,9411.0,8872.779296875,5752
2019-02-08,9317.2998046875,9400.0,9200.0,9317.2998046875,8784.4375,11939
2019-02-11,9390.0,9390.0,9311.400390625,9390.0,8852.98046875,6898
2019-02-12,9358.0,9497.0,9285.7001953125,9358.0,8822.810546875,35169
2019-02-13,9388.0,9431.0,9210.0,9388.0,8851.0947265625,51654
2019-02-14,9309.0,9450.0,9291.0,9309.0,8776.61328125,37398
2019-02-15,9320.0,9320.0,9020.0,9320.0,8786.984375,64809
2019-02-18,9195.0,9300.0,9195.0,9195.0,8669.1328125,10000
2019-02-19,9181.900390625,9284.900390625,9052.0,9181.900390625,8656.7822265625,6505
